CustomerID,InvoiceDate,Recency,Frequency,Monetary,CLV,Cluster
12346.0,2011-01-18 10:17:00,308,2,0.0,0.0,2
12347.0,2011-10-31 12:25:00,22,6,4085.1800000000003,24511.08,0
12348.0,2011-09-25 13:13:00,58,4,1797.24,7188.96,0
12349.0,2011-11-21 09:51:00,1,1,1757.55,1757.55,0
12350.0,2011-02-02 16:01:00,292,1,334.4,334.4,2
12352.0,2011-11-03 14:37:00,18,11,1545.41,16999.510000000002,0
12353.0,2011-05-19 17:47:00,186,1,89.0,89.0,2
12354.0,2011-04-21 13:11:00,215,1,1079.4,1079.4,2
12355.0,2011-05-09 13:49:00,196,1,459.4,459.4,2
12356.0,2011-11-17 08:40:00,5,3,2811.43,8434.289999999999,0
12357.0,2011-11-06 16:07:00,15,1,6207.67,6207.67,0
12358.0,2011-07-12 10:04:00,133,1,484.86,484.86,0
12359.0,2011-10-13 12:47:00,40,5,6274.2300000000005,31371.15,0
12360.0,2011-10-18 15:22:00,34,3,2662.06,7986.18,0
12361.0,2011-02-25 13:51:00,269,1,189.9,189.9,2
12362.0,2011-11-04 09:07:00,18,11,4674.39,51418.29,0
12363.0,2011-08-22 10:18:00,92,2,552.0,1104.0,0
12364.0,2011-10-30 15:43:00,22,3,1002.78,3008.34,0
12365.0,2011-02-21 14:04:00,273,3,320.69,962.0699999999999,2
12370.0,2011-10-19 14:51:00,33,4,3541.94,14167.76,0
12371.0,2011-10-26 10:16:00,27,2,1887.96,3775.92,0
12372.0,2011-09-29 12:12:00,54,3,1298.04,3894.12,0
12373.0,2011-02-01 13:10:00,294,1,364.6,364.6,2
12374.0,2011-11-14 15:37:00,7,1,742.9300000000001,742.9300000000001,0
12375.0,2011-09-02 14:23:00,80,1,230.3,230.3,0
12377.0,2011-01-28 15:45:00,297,2,1628.12,3256.24,2
12378.0,2011-08-02 10:34:00,112,1,4008.62,4008.62,0
12379.0,2011-09-19 10:09:00,64,3,850.29,2550.87,0
12380.0,2011-11-18 11:27:00,4,5,2720.56,13602.8,0
12381.0,2011-11-06 13:36:00,16,5,1656.95,8284.75,0
12383.0,2011-06-08 08:02:00,167,6,1839.31,11035.86,2
12384.0,2011-11-11 08:39:00,11,3,566.16,1698.48,0
12386.0,2011-01-06 12:37:00,320,2,401.9,803.8,2
12388.0,2011-09-25 11:30:00,58,5,2494.26,12471.300000000001,0
12390.0,2011-09-21 09:33:00,62,1,549.84,549.84,0
12391.0,2011-11-18 12:07:00,4,1,439.66,439.66,0
12393.0,2011-09-28 15:41:00,54,4,1582.6000000000001,6330.400000000001,0
12394.0,2011-10-07 08:08:00,46,2,1272.48,2544.96,0
12395.0,2011-11-20 15:21:00,1,14,3000.83,42011.619999999995,0
12397.0,2011-11-04 09:52:00,18,2,2409.9,4819.8,0
12398.0,2011-10-25 10:27:00,28,1,1635.6599999999999,1635.6599999999999,0
12399.0,2011-08-12 13:15:00,102,4,1108.65,4434.6,0
12401.0,2011-02-09 13:50:00,285,1,84.3,84.3,2
12402.0,2011-01-20 13:49:00,305,1,225.6,225.6,2
12403.0,2011-10-21 11:00:00,32,2,409.7,819.4,0
12405.0,2011-07-14 08:52:00,131,1,1710.39,1710.39,0
12406.0,2011-11-17 19:22:00,4,3,3280.75,9842.25,0
12407.0,2011-10-21 10:11:00,32,5,1708.1200000000001,8540.6,0
12408.0,2011-11-07 12:30:00,15,9,2842.57,25583.13,0
12409.0,2011-09-22 10:38:00,61,7,11056.93,77398.51000000001,0
12410.0,2011-02-11 15:47:00,283,3,681.0799999999999,2043.2399999999998,2
12412.0,2011-09-26 10:16:00,57,3,1226.88,3680.6400000000003,0
12413.0,2011-10-04 09:00:00,49,5,694.15,3470.75,0
12414.0,2011-05-06 14:51:00,199,3,562.41,1687.23,2
12415.0,2011-11-15 14:22:00,6,26,123725.45,3216861.6999999997,1
12417.0,2011-11-10 15:00:00,11,11,3209.07,35299.770000000004,0
12418.0,2011-08-19 11:08:00,95,1,668.58,668.58,0
12420.0,2011-10-07 08:55:00,46,1,600.39,600.39,0
12421.0,2011-08-17 10:56:00,97,4,627.79,2511.16,0
12422.0,2011-09-05 09:48:00,78,3,803.5600000000001,2410.6800000000003,0
12423.0,2011-09-02 12:00:00,81,8,1640.47,13123.76,0
12424.0,2011-06-30 12:06:00,145,2,1760.96,3521.92,2
12425.0,2011-09-22 17:31:00,60,1,777.2,777.2,0
12426.0,2011-05-29 12:26:00,177,1,582.73,582.73,2
12427.0,2011-11-18 08:56:00,4,4,768.85,3075.4,0
12428.0,2011-11-14 08:22:00,8,12,7877.2,94526.4,0
12429.0,2011-06-20 12:14:00,155,3,2844.88,8534.64,2
12430.0,2011-10-27 15:09:00,25,1,256.4,256.4,0
12431.0,2011-11-04 11:55:00,18,18,6348.89,114280.02,0
12432.0,2011-10-28 11:43:00,25,5,5059.32,25296.6,0
12433.0,2011-10-27 13:43:00,25,4,7893.89,31575.56,0
12434.0,2011-09-16 12:38:00,67,4,765.19,3060.76,0
12435.0,2011-09-21 09:06:00,62,2,7829.89,15659.78,0
12436.0,2011-09-01 12:09:00,82,1,509.01,509.01,0
12437.0,2011-11-18 15:14:00,3,17,4438.35,75451.95000000001,0
12438.0,2011-07-22 13:29:00,123,1,890.0699999999999,890.0699999999999,0
12441.0,2010-12-08 10:45:00,349,1,173.55,173.55,2
12444.0,2011-11-18 13:23:00,4,5,5005.46,25027.3,0
12445.0,2011-11-17 18:43:00,4,1,133.4,133.4,0
12446.0,2011-10-13 12:50:00,40,1,1002.3100000000001,1002.3100000000001,0
12447.0,2011-04-10 13:25:00,226,1,476.49,476.49,2
12448.0,2011-10-26 13:46:00,26,1,449.45,449.45,0
12449.0,2011-11-17 13:46:00,4,4,4067.29,16269.16,0
12450.0,2011-07-06 14:41:00,138,2,197.88,395.76,2
12451.0,2011-11-18 09:58:00,4,5,8671.02,43355.100000000006,0
12453.0,2011-07-28 14:08:00,116,1,707.09,707.09,0
12454.0,2011-10-17 15:07:00,35,2,5.684341886080802e-14,1.1368683772161603e-13,0
12455.0,2011-09-27 15:31:00,55,6,2466.86,14801.16,0
12456.0,2011-10-26 14:41:00,26,4,3153.89,12615.56,0
12457.0,2011-10-12 13:46:00,40,12,1917.78,23013.36,0
12458.0,2011-09-29 15:25:00,53,2,947.4,1894.8,0
12461.0,2011-09-06 16:57:00,76,2,826.88,1653.76,0
12462.0,2011-11-21 09:11:00,1,3,1168.79,3506.37,0
12463.0,2011-10-24 13:43:00,28,7,1303.63,9125.41,0
12464.0,2011-11-17 15:55:00,4,7,930.15,6511.05,0
12465.0,2011-06-23 13:37:00,152,1,440.94,440.94,2
12468.0,2011-07-19 13:42:00,125,3,724.0400000000001,2172.1200000000003,0
12471.0,2011-11-17 09:49:00,5,43,14881.449999999999,639902.35,3
12472.0,2011-11-09 11:33:00,13,13,6229.48,80983.23999999999,0
12473.0,2011-11-10 13:48:00,11,9,2837.73,25539.57,0
12474.0,2011-11-17 11:52:00,5,29,6648.6,192809.40000000002,3
12475.0,2011-10-17 10:10:00,36,1,723.38,723.38,0
12476.0,2011-11-14 15:19:00,7,18,4894.87,88107.66,0
12477.0,2011-11-17 09:51:00,5,9,13117.01,118053.09,0
12480.0,2011-11-11 14:52:00,10,4,3281.63,13126.52,0
12481.0,2011-11-17 08:29:00,5,11,5574.36,61317.96,0
12483.0,2011-11-08 13:30:00,14,11,2000.41,22004.510000000002,0
12484.0,2011-11-07 11:37:00,15,8,4480.87,35846.96,0
12488.0,2011-10-31 10:42:00,22,2,767.45,1534.9,0
12489.0,2011-01-07 13:13:00,319,1,334.93,334.93,2
12490.0,2011-11-14 13:02:00,8,8,4597.75,36782.0,0
12491.0,2011-11-01 12:18:00,21,1,460.40000000000003,460.40000000000003,0
12492.0,2011-10-07 15:15:00,45,2,263.21000000000004,526.4200000000001,0
12493.0,2011-06-27 10:17:00,148,3,416.79,1250.3700000000001,2
12494.0,2011-10-30 15:44:00,22,11,1034.65,11381.150000000001,0
12497.0,2011-09-19 12:29:00,64,1,1043.1,1043.1,0
12498.0,2011-11-18 12:53:00,4,3,403.70000000000005,1211.1000000000001,0
12500.0,2011-11-16 16:20:00,5,13,4206.27,54681.51000000001,0
12501.0,2011-01-28 13:54:00,297,2,2089.68,4179.36,2
12502.0,2011-09-05 11:52:00,78,5,3723.87,18619.35,0
12503.0,2011-01-06 11:51:00,320,1,-1126.0,-1126.0,2
12504.0,2011-11-18 17:12:00,3,2,416.75,833.5,0
12505.0,2011-02-11 13:39:00,284,1,-4.5,-4.5,2
12506.0,2011-04-21 08:54:00,215,1,73.5,73.5,2
12507.0,2011-07-28 17:09:00,116,4,1258.06,5032.24,0
12508.0,2011-11-13 15:37:00,8,2,397.88,795.76,0
12509.0,2011-02-28 14:45:00,266,1,176.5,176.5,2
12510.0,2011-07-20 10:15:00,125,2,982.5699999999999,1965.1399999999999,0
12512.0,2011-10-04 14:55:00,48,2,132.18,264.36,0
12513.0,2011-09-16 12:45:00,67,2,586.79,1173.58,0
12514.0,2011-03-17 16:38:00,249,1,1017.68,1017.68,2
12515.0,2010-12-21 15:43:00,335,1,383.7,383.7,2
12516.0,2011-09-23 09:13:00,60,2,1312.06,2624.12,0
12517.0,2011-11-11 14:04:00,10,6,2443.65,14661.900000000001,0
12518.0,2011-11-11 11:18:00,11,4,1717.75,6871.0,0
12519.0,2011-10-07 09:26:00,46,1,330.84,330.84,0
12520.0,2011-09-21 15:23:00,61,6,2582.51,15495.060000000001,0
12521.0,2011-07-20 10:51:00,125,1,599.68,599.68,0
12522.0,2011-10-31 15:30:00,21,2,192.72,385.44,0
12523.0,2011-11-20 12:55:00,2,12,1764.77,21177.239999999998,0
12524.0,2011-10-07 11:19:00,46,7,4177.92,29245.440000000002,0
12526.0,2011-10-17 09:37:00,36,2,1039.58,2079.16,0
12527.0,2011-09-19 11:55:00,64,3,348.71000000000004,1046.13,0
12528.0,2011-10-07 11:57:00,46,7,1550.68,10854.76,0
12530.0,2011-10-11 12:34:00,42,5,1623.63,8118.150000000001,0
12532.0,2011-11-09 13:47:00,12,1,349.83000000000004,349.83000000000004,0
12534.0,2011-08-01 10:26:00,113,1,1089.18,1089.18,0
12535.0,2011-09-09 08:48:00,74,2,716.35,1432.7,0
12536.0,2011-10-27 14:20:00,25,4,4279.71,17118.84,0
12538.0,2011-11-10 17:16:00,11,1,363.95,363.95,0
12539.0,2011-11-17 13:30:00,5,5,3852.5,19262.5,0
12540.0,2011-11-20 11:31:00,2,19,13309.039999999999,252871.75999999998,3
12541.0,2011-11-10 10:40:00,12,3,981.18,2943.54,0
12544.0,2011-11-10 11:12:00,12,2,355.7,711.4,0
12545.0,2011-09-25 13:39:00,58,2,1000.39,2000.78,0
12546.0,2011-10-24 12:09:00,29,3,1141.5,3424.5,0
12547.0,2011-05-26 12:38:00,180,2,207.79999999999998,415.59999999999997,2
12548.0,2011-06-26 15:35:00,148,1,95.19999999999999,95.19999999999999,2
12550.0,2011-09-21 14:35:00,61,1,964.83,964.83,0
12551.0,2010-12-17 11:23:00,340,1,168.0,168.0,2
12552.0,2011-11-01 10:02:00,21,2,437.82,875.64,0
12553.0,2011-11-14 13:40:00,8,12,3378.96,40547.520000000004,0
12556.0,2011-10-20 13:06:00,33,2,599.56,1199.12,0
12557.0,2011-07-04 13:19:00,141,4,9000.960000000001,36003.840000000004,0
12559.0,2011-02-02 09:49:00,293,3,536.21,1608.63,2
12560.0,2011-08-31 12:39:00,83,3,1403.69,4211.07,0
12561.0,2011-02-10 11:39:00,285,1,238.85,238.85,2
12562.0,2011-11-17 11:34:00,5,6,3127.37,18764.22,0
12564.0,2011-03-23 14:55:00,243,1,456.9,456.9,2
12565.0,2011-03-03 11:43:00,264,2,131.17,262.34,2
12566.0,2011-09-28 09:57:00,55,2,346.7,693.4,0
12567.0,2011-11-17 11:02:00,5,11,9114.94,100264.34000000001,0
12569.0,2011-11-16 14:24:00,5,28,3165.67,88638.76000000001,3
12571.0,2011-10-31 10:19:00,22,2,519.61,1039.22,0
12572.0,2011-10-23 09:42:00,30,2,517.04,1034.08,0
12573.0,2011-04-26 15:52:00,209,1,160.54000000000002,160.54000000000002,2
12574.0,2011-01-28 09:20:00,298,1,218.45,218.45,2
12576.0,2011-11-04 10:11:00,18,6,1306.98,7841.88,0
12577.0,2011-11-04 13:28:00,18,4,564.2,2256.8,0
12578.0,2011-11-18 13:30:00,4,4,2753.36,11013.44,0
12579.0,2011-09-27 13:57:00,55,3,410.72,1232.16,0
12580.0,2011-04-07 10:24:00,229,1,415.7,415.7,2
12581.0,2011-10-31 08:56:00,22,1,197.71,197.71,0
12582.0,2011-04-15 08:45:00,221,2,511.36,1022.72,2
12583.0,2011-11-21 11:16:00,1,17,6492.57,110373.69,0
12584.0,2011-11-14 12:56:00,8,14,1477.05,20678.7,0
